1000 0.001917
2000 0.00761
3000 0.017046
4000 0.030231
5000 0.04719
6000 0.06793
7000 0.092437
8000 0.120676
9000 0.152928
10000 0.189078
11000 0.229433
12000 0.272361
13000 0.320682
14000 0.371498
15000 0.427762
16000 0.486277
